Date,Region,District,Town,Grid,Power_Consumption_MWh,Power_Generation_MWh,Power_Outage
2015-03-16,Oti Region,District Four,Town Four,Grid Five,512,400,A
2015-03-17,Ahafo Region,District Five,Town Two,Grid Three,1056,1076,A
2015-03-18,Eastern Region,District Three,Town Three,Grid Four,1699,1167,A
2015-03-19,Savannah Region,District Four,Town Four,Grid One,500,840,A
2015-03-20,North East Region,District Four,Town Two,Grid Two,1732,1633,A
2015-03-21,Upper East Region,District Two,Town Five,Grid Two,993,1689,A
2015-03-22,Northern Region,District Two,Town Five,Grid One,1426,1049,A
2015-03-23,Upper East Region,District one,Town Two,Grid Three,1885,662,A
2015-03-24,Western Region,District Two,Town One,Grid Five,1872,1419,A
2015-03-25,Ahafo Region,District Three,Town Five,Grid Four,1024,1584,A
2015-03-26,Central Region,District one,Town Three,Grid Three,835,1723,A
2015-03-27,Upper West Region,District Four,Town Three,Grid Three,667,679,B
2015-03-28,Western North Region,District Two,Town One,Grid One,1336,1194,A
2015-03-29,Upper West Region,District one,Town Four,Grid Three,996,1223,A
2015-03-30,Volta Region,District one,Town Five,Grid Four,1726,791,B
2015-03-31,Eastern Region,District Three,Town Two,Grid Two,727,1519,A
2015-04-01,North East Region,District Five,Town Three,Grid Four,1896,1127,A
2015-04-02,Greater Accra Region,District Four,Town Three,Grid Four,1349,972,A
2015-04-03,Ashanti Region,District Three,Town One,Grid One,1368,1736,A
2015-04-04,Savannah Region,District Five,Town Five,Grid One,749,1748,A
2015-04-05,Upper East Region,District Five,Town Three,Grid Five,791,402,B
2015-04-06,Ahafo Region,District Two,Town Four,Grid One,946,824,A
2015-04-07,Western North Region,District Four,Town Three,Grid Three,1705,1007,A
2015-04-08,Ashanti Region,District Five,Town Three,Grid Three,1039,579,A
2015-04-09,Western North Region,District Two,Town Three,Grid Two,985,1073,A
2015-04-10,Ahafo Region,District one,Town One,Grid Five,1578,886,A
2015-04-11,Northern Region,District Four,Town Three,Grid One,1098,826,A
2015-04-12,Bono East Region,District Five,Town Five,Grid Five,1764,1653,B
2015-04-13,Savannah Region,District Three,Town Three,Grid Three,1889,1390,A
2015-04-14,Eastern Region,District Two,Town One,Grid Five,1200,1442,B
2015-04-15,North East Region,District Four,Town Five,Grid One,1011,1282,A
2015-04-16,Upper West Region,District Three,Town Three,Grid Five,1699,808,A
2015-04-17,North East Region,District Two,Town Five,Grid One,1161,1753,A
2015-04-18,Upper West Region,District Three,Town Four,Grid Three,1099,1323,A
2015-04-19,Northern Region,District Three,Town One,Grid One,693,496,B
2015-04-20,Central Region,District Three,Town Two,Grid One,1668,1577,A
2015-04-21,Savannah Region,District Two,Town One,Grid Three,1358,532,B
2015-04-22,Bono East Region,District Five,Town Five,Grid One,772,584,B
2015-04-23,Northern Region,District Three,Town Five,Grid Four,1427,441,A
2015-04-24,Volta Region,District Three,Town One,Grid Five,1740,1275,A
2015-04-25,Western North Region,District Five,Town Two,Grid Five,975,821,A
2015-04-26,Brong-Ahafo Region,District one,Town Four,Grid Four,970,694,B
2015-04-27,Western Region,District Two,Town Three,Grid Four,626,1765,B
2015-04-28,Greater Accra Region,District Two,Town One,Grid Four,1119,643,B
2015-04-29,Western Region,District Four,Town Three,Grid Three,1026,1337,A
2015-04-30,Savannah Region,District Four,Town One,Grid One,737,1725,A
2015-05-01,Eastern Region,District one,Town Three,Grid One,617,1676,B
2015-05-02,Volta Region,District Two,Town Five,Grid Four,1895,1771,A
2015-05-03,North East Region,District Four,Town One,Grid Four,742,1478,A
2015-05-04,Western Region,District Two,Town Two,Grid Two,556,1303,A
2015-05-05,North East Region,District Two,Town Two,Grid Three,1151,1554,B
2015-05-06,Greater Accra Region,District Five,Town One,Grid Four,1388,478,A
2015-05-07,Oti Region,District Two,Town Three,Grid Two,686,1435,A
2015-05-08,Central Region,District Three,Town One,Grid Three,923,836,A
2015-05-09,Brong-Ahafo Region,District one,Town Four,Grid Two,1029,1428,A
2015-05-10,Savannah Region,District Two,Town Three,Grid Three,1898,1343,A
2015-05-11,Bono East Region,District Five,Town Two,Grid One,1556,1451,A
2015-05-12,Upper East Region,District Five,Town One,Grid Two,1031,711,A
2015-05-13,Upper East Region,District Three,Town Three,Grid Five,919,1457,A
2015-05-14,Western North Region,District Three,Town Five,Grid Three,1833,1523,A
2015-05-15,Upper East Region,District one,Town One,Grid Four,1059,845,A
2015-05-16,Eastern Region,District Four,Town Four,Grid Two,879,514,A
2015-05-17,Savannah Region,District one,Town Five,Grid Five,559,1439,A
2015-05-18,Greater Accra Region,District Four,Town One,Grid Two,534,1543,A
2015-05-19,Savannah Region,District Four,Town Three,Grid Three,1246,1015,A
2015-05-20,Volta Region,District Two,Town Three,Grid Four,991,1442,A
2015-05-21,Western Region,District Three,Town One,Grid Two,1129,1614,A
2015-05-22,Western Region,District one,Town Five,Grid Two,507,1039,A
2015-05-23,Ashanti Region,District Three,Town Five,Grid One,953,1101,A
2015-05-24,Brong-Ahafo Region,District one,Town Three,Grid Five,982,1602,A
2015-05-25,Western Region,District Two,Town Five,Grid Four,1824,527,A
2015-05-26,Upper West Region,District Five,Town Two,Grid Three,517,792,A
2015-05-27,Ashanti Region,District Five,Town One,Grid Five,638,1688,A
2015-05-28,North East Region,District one,Town Three,Grid One,605,1118,A
2015-05-29,Greater Accra Region,District Four,Town Three,Grid Three,684,930,A
2015-05-30,Oti Region,District Five,Town Two,Grid Four,1608,1519,B
2015-05-31,Eastern Region,District Two,Town Two,Grid Two,707,1281,B
2015-06-01,Oti Region,District one,Town Four,Grid Five,1727,1058,A
2015-06-02,Upper West Region,District Three,Town Three,Grid Four,1164,1638,A
2015-06-03,Greater Accra Region,District Two,Town Two,Grid Four,1541,1109,A
2015-06-04,Upper East Region,District Five,Town Five,Grid Five,1958,584,A
2015-06-05,Eastern Region,District one,Town Five,Grid Two,1977,1023,A
2015-06-06,Brong-Ahafo Region,District one,Town Three,Grid Three,1476,1040,A
2015-06-07,Ashanti Region,District Four,Town Two,Grid Three,828,618,A
2015-06-08,Ashanti Region,District one,Town Five,Grid Four,1657,1051,A
2015-06-09,Savannah Region,District Four,Town Five,Grid One,1427,997,A
2015-06-10,Western North Region,District Four,Town Three,Grid One,831,1767,A
2015-06-11,Ashanti Region,District Four,Town Three,Grid Four,1211,904,A
2015-06-12,Central Region,District Three,Town One,Grid Three,502,997,A
2015-06-13,Bono East Region,District Four,Town Four,Grid Three,1820,821,B
2015-06-14,Greater Accra Region,District one,Town Four,Grid Four,1965,492,A
2015-06-15,Savannah Region,District Three,Town Four,Grid Three,745,748,A
2015-06-16,Volta Region,District Two,Town Three,Grid Two,947,1385,A
2015-06-17,Northern Region,District Two,Town Five,Grid Four,813,1751,A
2015-06-18,Northern Region,District Five,Town One,Grid Three,1559,1649,A
2015-06-19,Western North Region,District Three,Town Five,Grid Three,1056,776,A
2015-06-20,Western North Region,District Five,Town Two,Grid One,1111,612,A
2015-06-21,Ahafo Region,District Four,Town One,Grid One,1362,678,A
2015-06-22,Western Region,District Five,Town Five,Grid Three,1559,965,A
2015-06-23,Bono East Region,District Three,Town Three,Grid Five,1460,841,B
2015-06-24,Greater Accra Region,District Two,Town Five,Grid Four,1805,991,A
2015-06-25,Western North Region,District Five,Town Five,Grid One,1226,1073,B
2015-06-26,Ashanti Region,District Four,Town Two,Grid One,1085,988,A
2015-06-27,Western North Region,District Three,Town Two,Grid Three,1575,1098,A
2015-06-28,Ashanti Region,District Two,Town Three,Grid Three,1067,953,A
2015-06-29,Upper West Region,District Four,Town One,Grid Four,1065,1416,B
2015-06-30,Ashanti Region,District Two,Town Four,Grid Four,1705,1178,A
2015-07-01,North East Region,District Two,Town Two,Grid Five,1612,433,B
2015-07-02,Western North Region,District Four,Town Two,Grid Three,911,1514,B
2015-07-03,Northern Region,District one,Town Five,Grid Five,965,1497,A
2015-07-04,Ashanti Region,District Three,Town Two,Grid Two,1909,1025,A
2015-07-05,Ahafo Region,District Four,Town Four,Grid Four,1709,1287,A
2015-07-06,Eastern Region,District Four,Town One,Grid Four,926,1160,A
2015-07-07,Bono East Region,District one,Town Four,Grid One,1509,635,A
2015-07-08,Western North Region,District Five,Town Five,Grid Four,1919,401,A
2015-07-09,Northern Region,District one,Town One,Grid Three,1788,587,A
2015-07-10,Ashanti Region,District Four,Town One,Grid Two,1161,1077,A
2015-07-11,Eastern Region,District Two,Town Five,Grid One,1484,1108,B
2015-07-12,Greater Accra Region,District Five,Town Two,Grid Two,1014,694,B
2015-07-13,Bono East Region,District Two,Town One,Grid Two,1472,490,A
2015-07-14,Ahafo Region,District Five,Town Five,Grid Three,1615,441,B
2015-07-15,Western Region,District Four,Town Two,Grid Three,1776,974,A
2015-07-16,Ahafo Region,District Two,Town Three,Grid Five,1947,1245,A
2015-07-17,Ashanti Region,District one,Town One,Grid Two,1406,736,A
2015-07-18,Bono East Region,District Two,Town Four,Grid Four,1938,1341,A
2015-07-19,Volta Region,District Four,Town Four,Grid Four,1258,844,A
2015-07-20,Savannah Region,District Four,Town Two,Grid One,1589,1466,A
2015-07-21,Greater Accra Region,District Two,Town Two,Grid Three,877,1653,A
2015-07-22,Oti Region,District Five,Town Five,Grid Two,986,640,A
2015-07-23,Upper East Region,District one,Town Four,Grid One,1539,430,A
2015-07-24,Brong-Ahafo Region,District Two,Town Five,Grid Four,1907,887,A
2015-07-25,Upper West Region,District one,Town Five,Grid Three,869,1009,A
2015-07-26,Bono East Region,District Three,Town Three,Grid Four,1965,1429,A
2015-07-27,North East Region,District Two,Town Four,Grid Three,1689,988,B
2015-07-28,Savannah Region,District Four,Town Three,Grid Four,1387,1152,A
2015-07-29,Greater Accra Region,District Two,Town One,Grid Three,1506,1735,A
2015-07-30,Oti Region,District one,Town Three,Grid Three,884,598,A
2015-07-31,Brong-Ahafo Region,District Three,Town Two,Grid Four,1712,646,A
2015-08-01,Oti Region,District Two,Town Four,Grid One,1410,785,A
2015-08-02,Ashanti Region,District Four,Town Five,Grid Three,1288,1028,B
2015-08-03,Western Region,District one,Town Five,Grid One,836,911,A
2015-08-04,Northern Region,District Five,Town Four,Grid Two,729,837,A
2015-08-05,Bono East Region,District Two,Town Two,Grid Five,695,1332,A
2015-08-06,Upper West Region,District Four,Town Five,Grid Two,855,589,B
2015-08-07,Greater Accra Region,District Two,Town Five,Grid Two,540,1444,A
2015-08-08,Upper West Region,District Four,Town Five,Grid Three,1097,1220,A
2015-08-09,Oti Region,District Five,Town Five,Grid Four,1651,854,A
2015-08-10,Upper West Region,District Five,Town Three,Grid Two,1808,1409,A
2015-08-11,Bono East Region,District Five,Town One,Grid Five,1340,1470,A
2015-08-12,Western Region,District Two,Town Three,Grid Three,1545,1054,A
2015-08-13,Greater Accra Region,District Two,Town Five,Grid Five,545,1178,A
2015-08-14,North East Region,District one,Town Five,Grid Two,1025,1057,B
2015-08-15,Western Region,District Three,Town Four,Grid One,567,1794,A
2015-08-16,Volta Region,District Two,Town Four,Grid Four,1819,1343,A
2015-08-17,Upper West Region,District Two,Town Three,Grid Two,1488,1776,A
2015-08-18,Volta Region,District Two,Town Three,Grid Four,843,783,B
2015-08-19,Volta Region,District one,Town Two,Grid Three,837,864,A
2015-08-20,Ahafo Region,District Two,Town Three,Grid Five,1564,1589,A
2015-08-21,Western North Region,District one,Town Three,Grid Two,1315,590,A
2015-08-22,Savannah Region,District one,Town Two,Grid Four,1097,1482,A
2015-08-23,Volta Region,District Two,Town One,Grid One,1992,1230,A
2015-08-24,Ashanti Region,District Five,Town Two,Grid Four,1578,1193,A
2015-08-25,Oti Region,District Five,Town Four,Grid Two,1045,1322,B
2015-08-26,Bono East Region,District one,Town One,Grid One,1300,1422,A
2015-08-27,Upper West Region,District one,Town Four,Grid One,817,1771,B
2015-08-28,Central Region,District Five,Town Three,Grid Four,1273,1369,A
2015-08-29,Ashanti Region,District one,Town One,Grid Two,838,638,B
2015-08-30,Northern Region,District Three,Town Two,Grid Two,561,1009,A
2015-08-31,Upper West Region,District Four,Town Three,Grid Five,1380,1069,B
2015-09-01,Western North Region,District Two,Town Five,Grid Five,683,1752,A
2015-09-02,Greater Accra Region,District one,Town Five,Grid Two,1116,1210,A
2015-09-03,Upper West Region,District one,Town Four,Grid One,1856,1726,A
2015-09-04,Bono East Region,District Two,Town Four,Grid One,1651,1330,A
2015-09-05,Volta Region,District Three,Town Five,Grid Two,1943,1363,B
2015-09-06,Ashanti Region,District Five,Town Five,Grid Two,1984,1357,A
2015-09-07,Savannah Region,District one,Town One,Grid Five,1811,1426,A
2015-09-08,Savannah Region,District Four,Town Three,Grid Five,1883,1714,A
2015-09-09,Volta Region,District Three,Town Four,Grid Four,719,1365,B
2015-09-10,Ashanti Region,District Five,Town Five,Grid One,899,965,A
2015-09-11,Brong-Ahafo Region,District Five,Town One,Grid One,1202,630,B
2015-09-12,North East Region,District one,Town Two,Grid Two,627,716,A
2015-09-13,Central Region,District Four,Town Five,Grid Two,523,859,A
2015-09-14,Savannah Region,District Four,Town Two,Grid One,1727,886,A
2015-09-15,Volta Region,District Three,Town Five,Grid Three,1122,660,A
2015-09-16,Ahafo Region,District one,Town Five,Grid One,775,1662,B
2015-09-17,Central Region,District Five,Town Four,Grid Three,1157,655,A
2015-09-18,Upper West Region,District Four,Town One,Grid One,1959,965,A
2015-09-19,Savannah Region,District Four,Town One,Grid One,770,1418,B
2015-09-20,Bono East Region,District Five,Town Two,Grid Four,1309,1255,B
2015-09-21,Eastern Region,District one,Town Two,Grid Four,1256,1122,B
2015-09-22,Oti Region,District Three,Town Five,Grid Four,869,426,A
2015-09-23,North East Region,District Four,Town Four,Grid Two,1877,1221,B
2015-09-24,Central Region,District Four,Town Four,Grid Five,1546,1541,B
2015-09-25,Volta Region,District Two,Town Two,Grid Two,1251,539,A
2015-09-26,Western North Region,District Five,Town Three,Grid Four,886,1695,A
2015-09-27,Savannah Region,District Two,Town Two,Grid Three,1343,840,A
2015-09-28,Central Region,District Three,Town Three,Grid Three,1472,749,B
2015-09-29,North East Region,District Four,Town Four,Grid Five,723,1032,B
2015-09-30,Upper East Region,District Three,Town One,Grid Five,1804,1357,A
2015-10-01,Western Region,District Four,Town Two,Grid Three,1425,1634,A
2015-10-02,Central Region,District Five,Town Two,Grid Two,1383,1294,A
2015-10-03,Western Region,District Two,Town Three,Grid Three,1330,920,A
2015-10-04,Ahafo Region,District Two,Town Four,Grid Four,1703,1359,A
2015-10-05,Ashanti Region,District Two,Town Four,Grid Two,1149,774,A
2015-10-06,Central Region,District Two,Town Five,Grid Three,1754,1308,B
2015-10-07,Central Region,District Two,Town Four,Grid Four,964,442,B
2015-10-08,North East Region,District one,Town One,Grid One,897,1763,A
2015-10-09,Upper West Region,District Three,Town One,Grid Four,602,809,A
2015-10-10,Greater Accra Region,District one,Town Two,Grid Two,1069,1524,B
2015-10-11,Upper East Region,District one,Town Two,Grid Three,724,562,A
2015-10-12,Ahafo Region,District Three,Town Three,Grid Five,1461,1160,A
2015-10-13,North East Region,District Two,Town Five,Grid Five,729,714,A
2015-10-14,Upper East Region,District Three,Town Four,Grid Five,1858,1665,B
2015-10-15,North East Region,District Five,Town One,Grid One,932,559,A
2015-10-16,Eastern Region,District Five,Town Three,Grid Four,1234,491,B
2015-10-17,Central Region,District Four,Town Three,Grid Five,962,1589,A
2015-10-18,Western North Region,District Four,Town Two,Grid One,694,903,B
2015-10-19,Bono East Region,District one,Town Two,Grid Two,685,789,A
2015-10-20,Volta Region,District Two,Town Three,Grid Two,1590,934,A
2015-10-21,Savannah Region,District Three,Town Three,Grid One,1956,1394,A
2015-10-22,Central Region,District Two,Town One,Grid Four,1756,1015,A
2015-10-23,Northern Region,District Five,Town Three,Grid Three,1297,1145,A
2015-10-24,Greater Accra Region,District Five,Town Three,Grid Five,743,787,A
2015-10-25,Western North Region,District Five,Town Three,Grid One,713,1779,A
2015-10-26,Ashanti Region,District Two,Town One,Grid Three,1205,1694,A
2015-10-27,Upper East Region,District Four,Town One,Grid Two,694,929,A
2015-10-28,Ahafo Region,District one,Town Four,Grid Four,1352,818,A
2015-10-29,Oti Region,District Three,Town Four,Grid Two,1566,992,A
2015-10-30,Central Region,District one,Town One,Grid Five,654,529,A
2015-10-31,North East Region,District Four,Town Five,Grid Three,1515,1553,A
2015-11-01,Ahafo Region,District Two,Town Four,Grid Two,1045,1206,A
2015-11-02,Volta Region,District Three,Town Four,Grid One,1076,1178,A
2015-11-03,Ashanti Region,District Four,Town Two,Grid Two,924,727,A
2015-11-04,Northern Region,District Five,Town Three,Grid One,1484,957,A
2015-11-05,Savannah Region,District one,Town Four,Grid Five,1620,1246,A
2015-11-06,Eastern Region,District one,Town Five,Grid Four,1020,1281,B
2015-11-07,Northern Region,District one,Town Three,Grid One,982,883,A
2015-11-08,Ashanti Region,District Three,Town Two,Grid Four,1719,999,B
2015-11-09,North East Region,District Four,Town Four,Grid One,810,1790,B
2015-11-10,Oti Region,District one,Town Four,Grid One,1440,467,A
2015-11-11,Western Region,District Two,Town Five,Grid One,1264,771,A
2015-11-12,North East Region,District Five,Town One,Grid Five,1685,570,B
2015-11-13,Ahafo Region,District Five,Town Five,Grid Three,522,1698,A
2015-11-14,Savannah Region,District one,Town Two,Grid Five,560,1705,B
2015-11-15,North East Region,District one,Town Two,Grid Five,812,1285,A
2015-11-16,Brong-Ahafo Region,District Four,Town Three,Grid Three,1370,1022,B
2015-11-17,Volta Region,District Two,Town Three,Grid One,1054,1644,A
2015-11-18,Volta Region,District one,Town Four,Grid Four,1857,801,B
2015-11-19,Savannah Region,District Five,Town Two,Grid Three,928,995,A
2015-11-20,Bono East Region,District Five,Town Three,Grid Five,1396,1442,B
2015-11-21,Ahafo Region,District Two,Town Five,Grid Five,1577,1172,A
2015-11-22,Eastern Region,District Two,Town Four,Grid Three,1525,1744,A
2015-11-23,North East Region,District Five,Town Three,Grid One,1382,1090,A
2015-11-24,Upper East Region,District one,Town Five,Grid Five,1056,1504,A
2015-11-25,Western North Region,District Two,Town Four,Grid One,721,1372,A
2015-11-26,Upper West Region,District Three,Town Three,Grid Four,1609,534,A
2015-11-27,Greater Accra Region,District Two,Town Four,Grid Four,1554,803,A
2015-11-28,Bono East Region,District Two,Town Two,Grid Three,817,1602,A
2015-11-29,Upper West Region,District one,Town Five,Grid Two,1071,537,A
2015-11-30,Northern Region,District Three,Town Four,Grid One,1149,419,B
2015-12-01,Western Region,District Five,Town One,Grid Three,780,1258,A
2015-12-02,Northern Region,District one,Town Two,Grid Four,1640,832,A
2015-12-03,Upper East Region,District Five,Town One,Grid One,1447,508,A
2015-12-04,Northern Region,District Five,Town Four,Grid One,1789,1517,A
2015-12-05,Ashanti Region,District Five,Town Two,Grid Five,532,621,A
2015-12-06,Ahafo Region,District Two,Town One,Grid Three,1366,751,A
2015-12-07,Central Region,District one,Town Four,Grid Four,1320,805,A
2015-12-08,Eastern Region,District Two,Town Three,Grid Five,1262,1171,A
2015-12-09,Savannah Region,District Five,Town One,Grid Three,1068,1029,A
2015-12-10,Savannah Region,District Three,Town Two,Grid Five,1465,673,A
2015-12-11,Upper East Region,District one,Town One,Grid Five,1552,1024,A
2015-12-12,Savannah Region,District one,Town Four,Grid Two,1526,922,A
2015-12-13,Western North Region,District Two,Town One,Grid Five,673,519,A
2015-12-14,Ashanti Region,District Five,Town Four,Grid Five,1992,613,A
2015-12-15,Bono East Region,District Four,Town One,Grid Three,1050,807,A
2015-12-16,Ashanti Region,District Three,Town One,Grid Two,576,756,A
2015-12-17,Western Region,District Five,Town Five,Grid Two,1447,404,A
2015-12-18,Greater Accra Region,District Four,Town Two,Grid Four,507,1202,A
2015-12-19,Northern Region,District one,Town One,Grid Five,1733,1676,A
2015-12-20,Upper East Region,District Four,Town Two,Grid Four,1965,773,A
2015-12-21,North East Region,District one,Town Five,Grid Five,734,901,A
2015-12-22,Upper East Region,District Three,Town Two,Grid Two,1948,1737,A
2015-12-23,Volta Region,District one,Town One,Grid Two,625,1655,A
2015-12-24,Volta Region,District Three,Town Three,Grid One,982,1420,A
2015-12-25,Ashanti Region,District one,Town One,Grid Five,996,1059,A
2015-12-26,North East Region,District Five,Town Three,Grid Three,1950,1077,A
2015-12-27,Savannah Region,District Two,Town Four,Grid One,984,1292,A
2015-12-28,Savannah Region,District Five,Town Three,Grid Four,1611,1125,A
2015-12-29,Ashanti Region,District Four,Town Two,Grid One,1080,1487,A
2015-12-30,Volta Region,District Five,Town One,Grid Three,1902,1002,B
2015-12-31,Volta Region,District Three,Town One,Grid One,1789,1008,A
2016-01-01,Savannah Region,District one,Town Five,Grid One,1712,555,A
2016-01-02,Brong-Ahafo Region,District one,Town Two,Grid Four,1358,668,A
2016-01-03,Bono East Region,District Four,Town Three,Grid Two,1894,677,A
2016-01-04,Ahafo Region,District Four,Town One,Grid Five,646,1075,A
2016-01-05,Western Region,District one,Town Four,Grid Four,1754,1788,A
2016-01-06,Central Region,District Four,Town Two,Grid Four,976,1695,A
2016-01-07,Eastern Region,District Two,Town Two,Grid Two,902,692,B
2016-01-08,Western Region,District Four,Town Five,Grid Five,996,573,A
2016-01-09,Upper West Region,District Five,Town Two,Grid Three,1811,1718,A
2016-01-10,Central Region,District Two,Town Two,Grid Four,1629,975,A
2016-01-11,Ahafo Region,District Two,Town Two,Grid Three,958,1457,A
2016-01-12,Savannah Region,District Five,Town Three,Grid Four,1699,1208,A
2016-01-13,Upper West Region,District Two,Town Three,Grid Four,1274,1518,A
2016-01-14,Savannah Region,District Five,Town Five,Grid Three,1451,1564,A
2016-01-15,Western North Region,District Two,Town One,Grid Two,795,1140,A
2016-01-16,Northern Region,District Three,Town Three,Grid Four,1062,1042,A
2016-01-17,Western North Region,District Three,Town One,Grid Four,1069,590,A
2016-01-18,Savannah Region,District one,Town Five,Grid Three,1640,1703,A
2016-01-19,Ahafo Region,District Three,Town One,Grid One,608,673,A
2016-01-20,Oti Region,District Five,Town Three,Grid One,1102,1409,A
2016-01-21,Upper East Region,District Two,Town Three,Grid Three,635,1365,A
2016-01-22,Eastern Region,District Five,Town Two,Grid Three,1984,1392,A
2016-01-23,Greater Accra Region,District one,Town One,Grid Three,1119,1292,A
2016-01-24,Western Region,District Three,Town Five,Grid Two,1514,948,A
2016-01-25,Eastern Region,District Four,Town Two,Grid One,655,1232,A
2016-01-26,Western Region,District Three,Town One,Grid Two,1563,585,A
2016-01-27,Northern Region,District Four,Town Five,Grid One,1167,658,A
